golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_MikeDonald,-0.00260873,-0.002446472,-0.002446472
GOLFER_HidetoTanihara,-0.002608224,-0.008086054,-0.000253039
GOLFER_DonnieHammond,-0.002607621,-0.004894191,-0.001653205
GOLFER_StevePate,-0.002604005,-0.002604005,-0.002604005
GOLFER_K.J.Choi,-0.002588273,-0.001961643,-0.001961643
GOLFER_TagRidings,-0.002585315,-0.006662459,-0.001575649
GOLFER_HaleIrwin,-0.002450247,-0.002142903,-0.002142903
GOLFER_BrianSmith,-0.002430827,-0.003652487,-0.001744984
GOLFER_TimConley,-0.002429937,-0.008627551,-0.001434837
GOLFER_MarcoDawson,-0.002421297,-0.005769102,-0.001545032
GOLFER_PierreFulke,-0.002414666,-0.004595101,-0.00162456
GOLFER_SandyLyle,-0.002406463,-0.011305128,-0.000967623
GOLFER_JoseMariaOlazabal,-0.002397042,-0.0040229,0.005444413
GOLFER_DaisukeMaruyama,-0.002367672,-0.012215419,0.009651337
GOLFER_KevinGiancola,-0.002361426,-0.002361426,-0.002361426
GOLFER_BillyMayfair,-0.002332093,-0.003678238,0.000218929
GOLFER_JamesH.McLean,-0.002330427,-0.002510351,-0.000387184
GOLFER_JohnElliott,-0.00231701,-0.004517303,0.003282177
GOLFER_CoreyPavin,-0.002261588,-0.013544381,0.000856661
GOLFER_JasonHartwick,-0.002250424,-0.003294331,0.004586747
GOLFER_MikeSpringer,-0.002235011,-0.002235011,-0.002235011
GOLFER_ShaunMicheel,-0.002206684,-0.01320699,-0.000675438
GOLFER_MichaelAllen,-0.002203849,-0.002058654,0.00132564
GOLFER_DavidFaught,-0.002162698,-0.003810118,-0.001436463
GOLFER_HeathSlocum,-0.002152917,-0.019370672,-0.000165056
GOLFER_GregChalmers,-0.002113446,-0.002113446,-0.002113446
GOLFER_BillBritton,-0.002102224,-0.010367438,-0.000756746
GOLFER_RoccoMediate,-0.002086461,-0.004915764,0.000389551
GOLFER_KenKelley,-0.002067908,-0.01171212,0.00963054
GOLFER_ClintJensen,-0.002066698,-0.001901226,-0.001901226
GOLFER_RichBeem,-0.002034323,-0.003943928,-0.001650319
GOLFER_DarrenFichardt,-0.002033718,-0.003375225,-0.001014662
GOLFER_PadraigHarrington,-0.002012974,-0.004847604,-0.000637126
GOLFER_JohnRiegger,-0.001975072,-0.005738259,-8.98E-05
GOLFER_ScottDrummond,-0.001964394,-0.002482725,-0.002482725
GOLFER_AdamScott,-0.001950044,-0.005030079,-0.000295732
GOLFER_SeanPacetti,-0.001948368,-0.004681482,-9.52E-05
GOLFER_TimWeinhart,-0.001836837,-0.005517864,-0.000651639
GOLFER_MarkWilson,-0.00177752,-0.015083688,2.03E-05
GOLFER_MichaelHenderson,-0.001763655,-0.003849038,0.011361436
GOLFER_ChrisNallen,-0.001745371,-0.002310201,-0.002310201
GOLFER_JohnRollins,-0.001715497,-0.007852042,-0.00068144
GOLFER_BillGlasson,-0.001708595,-0.001378869,-0.001378869
GOLFER_RaphaelJacquelin,-0.001704381,-0.001929985,-0.001929985
GOLFER_KenichiKuboya,-0.001691783,-0.002280425,0.008124892
GOLFER_PaulGoydos,-0.001648858,-0.001405454,-0.001405454
GOLFER_ScottGutschewski,-0.001627994,-0.011138468,0.000638395
GOLFER_MarcelSiem,-0.001559347,-0.009148485,2.86E-06
GOLFER_DavidHowell,-0.001551106,-0.002493856,-0.000158915
GOLFER_KeithFergus,-0.001535028,-0.001535028,-0.001535028
GOLFER_JohnAdams,-0.001518834,-0.001747056,-0.001747056
GOLFER_JimSchuman,-0.001494407,-0.001494407,-0.001494407
GOLFER_MichelleWie,-0.001487398,-0.00639584,0.004409228
GOLFER_KevinHayashi,-0.001379876,-0.001379876,-0.001379876
GOLFER_RonCastilloJr.,-0.001362124,-0.016166227,0.000871514
GOLFER_ZebPatten,-0.001356011,-0.000997722,-0.000997722
GOLFER_GarrettWillis,-0.001329504,-0.001601027,-0.00109714
GOLFER_PaulCasey,-0.001326232,-0.001326232,-0.001326232
GOLFER_JJWall,-0.001314564,-0.001314564,-0.001314564
GOLFER_BrendenPappas,-0.001296924,-0.00938754,0.000254474
GOLFER_JohnShawver,-0.001289241,-0.00229341,0.014424436
GOLFER_BrockMackenzie,-0.001273406,-0.004783255,0.000451184
GOLFER_CharletonDechert,-0.001267796,-0.013544636,0.005706705
GOLFER_ErikCompton,-0.001230797,-0.001230797,-0.001230797
GOLFER_LarryRinker,-0.001230159,-0.004060692,-0.000548693
GOLFER_JayOverton,-0.001218664,-0.005378798,-0.000302012
GOLFER_AkioSadakata,-0.001206891,-0.00448457,-0.001025356
GOLFER_DanPohl,-0.00116546,-0.006249605,0.00036283
GOLFER_CaryHungate,-0.001164607,-0.001164607,-0.001164607
GOLFER_EdFryatt,-0.001125646,-0.001125646,-0.001125646
GOLFER_DavidLebeck,-0.001120349,-0.005519267,0.000302711
GOLFER_QuinnGriffing,-0.001096814,-0.001687682,-0.000567314
GOLFER_DonPooley,-0.001029147,-0.014147535,0.002724849
GOLFER_DavidLundstrom,-0.001023843,-0.001023843,-0.001023843
GOLFER_JimCarter,-0.001017307,-0.00153098,0.007573369
GOLFER_DavidOgrin,-0.001001579,-0.003100343,6.77E-05
GOLFER_KrisMoe,-0.000996323,-0.010167645,0.00682731
GOLFER_JimMcGovern,-0.000984094,-0.004495122,-0.001043179
GOLFER_LucasGlover,-0.000980844,-0.013183324,0.001615502
GOLFER_ScottHend,-0.000967077,-0.001055334,-0.001055334
GOLFER_BubbaWatson,-0.000933421,-0.000632185,-0.000632185
GOLFER_D.A.Points,-0.000922887,-0.003641668,-0.000483987
GOLFER_RussCochran,-0.000920212,-0.013934692,-0.000192089
GOLFER_JimSchoullerJr.,-0.000897202,-0.000774518,-0.000774518
GOLFER_DavidHowser,-0.000894783,-0.002621796,7.66E-05
GOLFER_JohnConnelly,-0.000887398,-0.001720162,0.001585454
GOLFER_TimWilkinson,-0.000881517,-0.010176458,0.00571721
GOLFER_EliZackheim,-0.000873254,-0.012670845,-0.000495053
