,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42
BobBurns,69.75000,68.40000,72.00000,,72.50000,72.00000,72.50000,,74.00000,,70.75000,72.75000,,70.25000,73.50000,68.75000,74.00000,70.50000,72.50000,72.50000,,73.00000,,,71.00000,73.50000,,,69.75000,,,70.25000,72.75000,77.50000,70.00000,69.75000,,71.00000,71.00000,71.00000,73.50000
BobEstes,,68.20000,69.25000,,72.00000,75.00000,,,73.00000,,75.00000,,73.75000,72.00000,,69.25000,,71.00000,72.75000,68.50000,,,73.00000,,73.00000,,,70.00000,,74.00000,,,,,67.25000,,71.00000,67.50000,,69.25000,69.50000
BobFord,,,,,,,,75.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BobHeintz,,,,,,,,,74.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BobLohr,,,,,,,,,,,,,,,,,,,,,,,,,,,82.50000,,,,,,,,,,,,,,
BobMucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.50000,,,,,,,,,
BobSowards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.50000,,,,,,,,,,,
BobTway,,,69.00000,,70.50000,68.75000,,74.00000,,,73.75000,74.50000,73.00000,74.50000,,69.75000,,69.50000,69.75000,,76.50000,71.25000,73.00000,,,,,,69.25000,73.00000,68.75000,,,71.25000,68.50000,,,69.33333,,70.50000,
BobbyCochran,,,,,,,,,,,,,,,,,,,,77.50000,,,,,,,,,,,,,,,,,,,,,
BobbyKalinowski,70.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoydSummerhays,70.00000,,,71.25000,73.50000,,70.50000,73.50000,75.00000,,,74.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BradAdamonis,,,,,,,,,,,,,,,,,,,,,,72.75000,,,,,,,,,,,,,,,,,,,
BradBryant,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75000,,,,,,,,68.25000,,69.50000,,,72.00000,
BradElder,,,,,,,,,,,,,,,,,,72.50000,,,,,,,,,,,,,,,,,,,,,,,
BradFabel,,,,,,,,,,,,,,,,,,,,,,,,,,,73.00000,,,,,,,,,,,,,,
BradFaxon,,,,72.66667,73.00000,72.00000,,,70.00000,71.25000,72.25000,,73.75000,72.75000,,,72.25000,71.50000,71.00000,,71.25000,70.00000,73.00000,70.50000,,,,69.25000,,71.00000,70.75000,68.50000,69.25000,,,72.00000,,,70.50000,70.50000,73.50000
BradHauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00000,78.50000
BradLardon,70.00000,,,74.66667,,,,,,,,78.00000,,,,71.00000,,,,74.50000,,,74.00000,71.50000,72.25000,71.00000,,72.75000,74.00000,,,72.50000,,,70.25000,,70.00000,,,,
BradSutterfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.00000,,,,,,,
BradleyHeaven,,,,,,,,,,,,,,,,,,,,,,,,,,76.00000,73.00000,,75.50000,,,,,,,,,,,,
BradleyHughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.00000,,,,,,,,,
BrandelChamblee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25000,,,,,,
BrandonKnaub,,,,,,,,,,,,,,,,,,,,,,,,74.00000,,,,,,,,,,,,,,,,,
BrandtJobe,,70.50000,69.25000,,70.00000,69.00000,,74.50000,72.25000,,73.50000,,,,,,73.00000,71.50000,,,,,,,,,,,,,,,,,,,,,,,
BrandtSnedeker,,,,,,,,,,,,,75.00000,,75.00000,72.50000,,69.00000,,73.50000,74.50000,72.50000,,,73.00000,,71.75000,,,,,,,,,,,,,,
BrendanJones,,,,,,,,,,,,,,,,,,,,,,,74.50000,,,,,,,75.50000,,,,,,,,,,,
BrendenPappas,67.75000,70.00000,68.50000,,72.00000,71.75000,70.00000,72.25000,71.00000,,74.00000,73.50000,,76.00000,74.50000,73.50000,,,72.25000,71.75000,73.00000,73.00000,,71.50000,73.00000,74.00000,68.75000,69.75000,68.75000,74.00000,,72.00000,74.50000,,67.75000,71.00000,69.75000,72.33333,71.00000,69.25000,71.50000
BrentGeiberger,69.00000,70.00000,69.75000,,73.50000,69.00000,69.75000,,,,,72.50000,,,,,72.50000,71.00000,73.00000,70.50000,,,,70.00000,72.75000,71.00000,,69.75000,71.00000,,,69.00000,70.75000,,67.00000,71.25000,68.50000,70.00000,67.50000,,73.50000
BrentSchwarzrock,,,,,,,,,,,,,,,,72.50000,,,,,,,,,,,,,,,,,,,,,,,,,
BrettMelton,,,,,,,,,,,,,,,,,,,,,,,,,76.50000,,,,,,,,,,,,,,,,
BrettPaquet,,,,,,,,,,,,,,,,,,,,79.00000,,,,,,,,,,,,,,,,,,,,,
